Gene stable ID	Transcript stable ID	UniProtKB/TrEMBL ID
Zm00001eb157170	Zm00001eb157170_T001	A0A8J8Y6B4
Zm00001eb157170	Zm00001eb157170_T002	A0A804NFH4
Zm00001eb159030	Zm00001eb159030_T001	Q8LSK1
Zm00001eb159030	Zm00001eb159030_T002	A0A804NGG8
Zm00001eb161610	Zm00001eb161610_T001	B6U5G7
Zm00001eb161610	Zm00001eb161610_T002	A0A804NHU4
Zm00001eb162590	Zm00001eb162590_T002	A0A804NID8
Zm00001eb162590	Zm00001eb162590_T001	A0A804NID7
Zm00001eb162590	Zm00001eb162590_T003	A0A804NID9
Zm00001eb163240	Zm00001eb163240_T003	A0A804NIQ5
Zm00001eb163240	Zm00001eb163240_T001	A0A804NIQ3
Zm00001eb163240	Zm00001eb163240_T002	B5U8J7
Zm00001eb165310	Zm00001eb165310_T003	A0A804NJK5
Zm00001eb165310	Zm00001eb165310_T001	A0A804NJK3
Zm00001eb165310	Zm00001eb165310_T002	A0A804NJK4
Zm00001eb165610	Zm00001eb165610_T002	A0A804NJQ5
Zm00001eb165610	Zm00001eb165610_T001	C0P7Z2
Zm00001eb165610	Zm00001eb165610_T001	A0A3L6F3L7
Zm00001eb169870	Zm00001eb169870_T001	C4J1B8
Zm00001eb170180	Zm00001eb170180_T001	A0A804NLT9
Zm00001eb179280	Zm00001eb179280_T001	B4FV54
Zm00001eb189430	Zm00001eb189430_T001	C0PM41
Zm00001eb189430	Zm00001eb189430_T001	A0A3L6F1Q9
Zm00001eb193860	Zm00001eb193860_T001	A0A1D6QE43
Zm00001eb194070	Zm00001eb194070_T001	A0A804NXN7
Zm00001eb201180	Zm00001eb201180_T001	A0A804P158
Zm00001eb216250	Zm00001eb216250_T001	A0A804P8P0
Zm00001eb217010	Zm00001eb217010_T001	A0A1D6GK64
Zm00001eb219770	Zm00001eb219770_T001	A0A1D6GMC8
Zm00001eb219770	Zm00001eb219770_T002	A0A1D6GMC8
Zm00001eb225360	Zm00001eb225360_T002	B6THJ5
Zm00001eb225360	Zm00001eb225360_T002	A0A8J8Y442
Zm00001eb225360	Zm00001eb225360_T001	B6THJ5
Zm00001eb225360	Zm00001eb225360_T001	A0A8J8Y442
Zm00001eb225360	Zm00001eb225360_T003	B6THJ5
Zm00001eb225360	Zm00001eb225360_T003	A0A8J8Y442
Zm00001eb230100	Zm00001eb230100_T001	A0A804PE49
Zm00001eb235800	Zm00001eb235800_T001	B6TMR8
Zm00001eb238010	Zm00001eb238010_T001	A0A1D6H5B9
Zm00001eb238010	Zm00001eb238010_T001	A0A8J8XN89
Zm00001eb247750	Zm00001eb247750_T001	A0A1D6HDN0
Zm00001eb247750	Zm00001eb247750_T001	A0A8J8XVT8
Zm00001eb247760	Zm00001eb247760_T002	A0A804U8P2
Zm00001eb247760	Zm00001eb247760_T001	C0P516
Zm00001eb248930	Zm00001eb248930_T001	A0A1D6HER1
Zm00001eb255510	Zm00001eb255510_T001	A0A1D6HKX5
Zm00001eb255510	Zm00001eb255510_T001	A0A3L6EHN9
Zm00001eb257130	Zm00001eb257130_T001	B4F9E8
Zm00001eb281500	Zm00001eb281500_T002	A0A1D6LXZ0
Zm00001eb281500	Zm00001eb281500_T001	A0A804Q017
Zm00001eb285360	Zm00001eb285360_T001	A3KLI1
Zm00001eb291540	Zm00001eb291540_T001	A0A1D6M783
Zm00001eb293570	Zm00001eb293570_T001	C0PKM7
Zm00001eb293790	Zm00001eb293790_T001	C0HG24
Zm00001eb294200	Zm00001eb294200_T001	A0A804Q465
Zm00001eb294200	Zm00001eb294200_T002	A0A075T8K1
Zm00001eb294200	Zm00001eb294200_T002	A0A3L6EFY5
Zm00001eb294880	Zm00001eb294880_T001	B6U7P4
Zm00001eb295750	Zm00001eb295750_T001	B4FJS2
Zm00001eb295750	Zm00001eb295750_T002	C0PCP3
Zm00001eb295750	Zm00001eb295750_T003	A0A804Q3X7
Zm00001eb295750	Zm00001eb295750_T004	A0A1D6MCI8
Zm00001eb300240	Zm00001eb300240_T001	B6SV18
Zm00001eb303190	Zm00001eb303190_T001	A0A096TAY4
Zm00001eb303190	Zm00001eb303190_T005	A0A096TAY4
Zm00001eb303190	Zm00001eb303190_T003	A0A804UCY2
Zm00001eb303190	Zm00001eb303190_T006	A0A096TAY4
Zm00001eb303190	Zm00001eb303190_T002	A0A804Q826
Zm00001eb303190	Zm00001eb303190_T004	A0A096TAY4
Zm00001eb305560	Zm00001eb305560_T001	C0PIA6
Zm00001eb305560	Zm00001eb305560_T002	A0A804UD47
Zm00001eb307340	Zm00001eb307340_T001	A0A1D6HZV2
Zm00001eb308610	Zm00001eb308610_T001	A0A804QA37
Zm00001eb309920	Zm00001eb309920_T001	A0A096T5F5
Zm00001eb311590	Zm00001eb311590_T001	B6SWJ0
Zm00001eb317110	Zm00001eb317110_T001	B8A1C8
Zm00001eb323220	Zm00001eb323220_T001	A0A1D6IDX7
Zm00001eb327820	Zm00001eb327820_T001	B6SXH5
Zm00001eb327820	Zm00001eb327820_T001	A0A8J8YRJ8
Zm00001eb330160	Zm00001eb330160_T002	A0A1D6INI5
Zm00001eb330160	Zm00001eb330160_T001	A0A1D6INI4
Zm00001eb330160	Zm00001eb330160_T001	A0AAQ5KSJ2
Zm00001eb337450	Zm00001eb337450_T001	K7UQY2
Zm00001eb337450	Zm00001eb337450_T002	K7UQY2
Zm00001eb337680	Zm00001eb337680_T001	A0A804QLC1
Zm00001eb337690	Zm00001eb337690_T001	C4J494
Zm00001eb338000	Zm00001eb338000_T001	A0A1D6FGH1
Zm00001eb344210	Zm00001eb344210_T001	A0A804UG16
Zm00001eb344210	Zm00001eb344210_T003	A0A804QLV5
Zm00001eb344210	Zm00001eb344210_T002	A0A804QNJ7
Zm00001eb344210	Zm00001eb344210_T004	C0HHW8
Zm00001eb344260	Zm00001eb344260_T001	C0PBJ7
Zm00001eb344260	Zm00001eb344260_T003	A0A1D6FKU7
Zm00001eb344260	Zm00001eb344260_T002	A0A804QNJ1
Zm00001eb351790	Zm00001eb351790_T001	B6UH30
Zm00001eb351790	Zm00001eb351790_T002	A0A804QTC5
Zm00001eb352370	Zm00001eb352370_T001	C0HIR5
Zm00001eb353580	Zm00001eb353580_T001	C0HGS8
Zm00001eb361860	Zm00001eb361860_T001	A0A1Q1C9T5
Zm00001eb361860	Zm00001eb361860_T001	A0A3L6DRL4
Zm00001eb364710	Zm00001eb364710_T001	A0A804QWF2
Zm00001eb366790	Zm00001eb366790_T001	K7VAU0
Zm00001eb366870	Zm00001eb366870_T001	C0P8C8
Zm00001eb366870	Zm00001eb366870_T001	A0A8J8YSQ4
Zm00001eb367840	Zm00001eb367840_T001	K7VB80
Zm00001eb369590	Zm00001eb369590_T004	B4FCF0
Zm00001eb369590	Zm00001eb369590_T003	A0A804UIA1
Zm00001eb369590	Zm00001eb369590_T005	A0A1D6G9Y2
Zm00001eb369590	Zm00001eb369590_T002	A0A804QYB5
Zm00001eb369590	Zm00001eb369590_T001	A0A804QVT2
Zm00001eb378070	Zm00001eb378070_T001	A0A804R2R9
Zm00001eb378280	Zm00001eb378280_T001	A0A804R2U1
Zm00001eb378280	Zm00001eb378280_T004	A0A1D6NW49
Zm00001eb378280	Zm00001eb378280_T002	A0A804R4I6
Zm00001eb378280	Zm00001eb378280_T003	B6SLM0
Zm00001eb392910	Zm00001eb392910_T001	K7WCU4
Zm00001eb392910	Zm00001eb392910_T001	A0A8J8YHP4
Zm00001eb395330	Zm00001eb395330_T001	C0PD31
Zm00001eb395360	Zm00001eb395360_T001	B6SJE9
Zm00001eb395370	Zm00001eb395370_T001	B6SJE9
Zm00001eb396290	Zm00001eb396290_T001	B4FMT6
Zm00001eb397600	Zm00001eb397600_T001	K7VJF3
Zm00001eb397940	Zm00001eb397940_T001	B4FT59
Zm00001eb400020	Zm00001eb400020_T001	B7ZXR4
Zm00001eb400610	Zm00001eb400610_T001	B6U9Z6
Zm00001eb400610	Zm00001eb400610_T001	A0A8J8Y2Q6
Zm00001eb406490	Zm00001eb406490_T001	B6SLA2
Zm00001eb408850	Zm00001eb408850_T001	K7TFB6
Zm00001eb409100	Zm00001eb409100_T001	A0A804RH55
Zm00001eb409910	Zm00001eb409910_T001	K7TJN7
Zm00001eb418610	Zm00001eb418610_T001	C0P4Q3
Zm00001eb419870	Zm00001eb419870_T003	K7U2B2
Zm00001eb419870	Zm00001eb419870_T001	A0A804RHV0
Zm00001eb419870	Zm00001eb419870_T002	A0A804RK89
Zm00001eb422690	Zm00001eb422690_T001	A0A804RMS4
Zm00001eb427040	Zm00001eb427040_T002	A0A1D6JAQ1
Zm00001eb427040	Zm00001eb427040_T001	K7U5A4
